Dimerization,O^z
0.1,0.32647577321388827
0.12,0.3208456969741057
0.14,0.31240047848907204
0.16,0.30140467726482517
0.18,0.2883856262687888
0.2,0.2706878923522038
0.22,0.24346588245766473
0.24,0.2048628866639784
0.26,0.08811812997059201
0.28,0.008705654124138294
0.3,0.0021478722850729656
0.32,9.14852375366711e-05
0.34,-3.1266033344509018e-06
0.36,7.53286504429702e-06
0.38,6.381660323060067e-06
0.4,2.0576980746840797e-06
0.42,7.205900188804697e-06
0.44,4.346131794607598e-06
0.46,-8.439020290941992e-07
0.48,2.400495986133341e-06
0.5,1.850358354668137e-06
0.52,1.9687632027421698e-07
0.54,-1.9234191696683875e-07
0.56,1.230896010065729e-07
0.58,5.997303485870605e-09
0.6,4.104360609206954e-09
