Dimerization,ZL
0.0,0.4820394791522791
0.05,0.4883660932860234
0.1,0.4394951751099366
0.15,0.334292637100687
0.2,0.02554459658212023
0.25,-0.04701783246758879
0.3,-0.1285950286238754
0.35,-0.2388796071816092
0.4,-0.3429309969516319
0.45,-0.3723107398587227
0.5,-0.3769112641592074
0.55,-0.2004595174154589
0.6,0.1362184042377719
0.65,0.2789146843775059
0.7,0.4116569703532875
0.75,0.5087693458662615
0.8,0.5813996887604084
0.85,0.6350427863195482
0.9,0.6761840950795384
0.95,0.7084736542610118
1.0,0.7341281321104811
